date,signature,mint,traderPublicKey,txType,initialBuy,bondingCurveKey,vTokensInBondingCurve,vSolInBondingCurve,marketCapSol,link
2024-06-20T13:27:00.160Z,4dV78ufnrxpweTbSSzZnN41LLdRJfJk7LfwJZ4SjYEPj3SWooGS2uCYs8eEN6HWQzz7VU7brxsmXzJKhmDiD6qKH,5RAJKfaq5PsyMVmasWzsAsg38EswSutRtYhWKEippump,DD8G1QnSonW8XfsLVjxeNu59LqS7RT2e5GvDvuh1WBeg,create,21039215.686274,76QwpSyDhMkiRKtJi5qxHaKTy8c7qWkureiENaPWD9DW,1051960784.313726,30.599999999999987,29.088536812674718,https://photon-sol.tinyastro.io/en/lp/5RAJKfaq5PsyMVmasWzsAsg38EswSutRtYhWKEippump
2024-06-20T13:27:01.707Z,5j9Vb88A9kQPbT8PYUvKSK8QBPb3G1zMGVvPUNzd5GBYoHzHcvMNwTBKFdCNbD486bqWPrDwRcW4GBeoVeJz2sib,9ZDreDStVQkh1pS9nUX5cUDNLjUoFVo4xvhqWF5Ppump,3e6Xeg9UMShjh5ZLWnqu1qtfWsuBsyBoCW5Y5pcrYU7D,create,67062499.999999,D31VCFKgUAX3sWi1p8LBXbTsNAeF9J6esp9R71HSrtc1,1005937500.000001,31.999999999999968,31.811121466293816,https://photon-sol.tinyastro.io/en/lp/9ZDreDStVQkh1pS9nUX5cUDNLjUoFVo4xvhqWF5Ppump
2024-06-20T13:27:09.603Z,GALUgKyJwQo3g5zwqVpQf5cWGz6a7gRXJvA2ZcGj1t7pSdCsCYozfqEspEYJsB2BmPpy9uEqwzedgULYWS5s5PC,6smZoYQgj3gryc8FyqNKVs1r8cDX7EvCHU5LeeFepump,EqZCcPH8xuGhvJkyzuac5kymNE5kHCBYLiMWqZQWrD9E,create,27870129.870129,4C1yn5j4jFr4GeAvxUXrePAEhQTaTLf651Uwd3KXAxWK,1045129870.129871,30.799999999999972,29.470021745883763,https://photon-sol.tinyastro.io/en/lp/6smZoYQgj3gryc8FyqNKVs1r8cDX7EvCHU5LeeFepump
2024-06-20T13:27:27.547Z,3DicCji2RjST6fzhS1DK9BnEkgncbMmGdnrUtsqeaSahEwwrzKtMbG7YRWuFLq7Sxd3fhFDsJJQKNHaNgQTTaWWS,3RZh5SwRmVfew7ADkEVbgGWJ2TgbebPLjvygv3XYpump,DSfNfd9T3xABSFajC71qm3KNCq5FhPz7RQJoWBe5iBmN,create,37951768.488745,2dVmPCS2MaQ4tFXdXccBkPKUsJf6MvngMGaNEtKFoHFs,1035048231.511255,31.09999999999997,30.0469089779434,https://photon-sol.tinyastro.io/en/lp/3RZh5SwRmVfew7ADkEVbgGWJ2TgbebPLjvygv3XYpump
2024-06-20T13:27:42.462Z,GX5PDqw5m9sgGaLhki8LZbRbar92LkrSFB4bv8jjnyGMPNXB8aazUp9KKfJneyDMvq8N1oThkWn59iprRKkamKk,BjiE5v5YU2kH5Ff7tXMNnCkrBZGG8nhcHG3of8kopump,8YHov4hke46vMT3WQMKBPuys6zjGLZtfYSwDcK384Drs,create,67062499.999999,3xKk1dmhZShkeihqSVCKhqSMNNJK4NMXynpgymNK2wGN,1005937500.000001,31.999999999999968,31.811121466293816,https://photon-sol.tinyastro.io/en/lp/BjiE5v5YU2kH5Ff7tXMNnCkrBZGG8nhcHG3of8kopump
2024-06-20T13:27:49.624Z,5nuXF2RmHVm4gnofos6UNbTEbEC2JyRoWiEKUXRwnZPVFK6cwg5GtPsn47xGMhpoQiJq15mAyXVUj8fpZE2BHHDN,6SDYUwPx2z7RzHiidHDoe5eSuFHyUwCHWaRKLNjhpump,2WLb8DrqPUFtQrZcotHhoPGcnRZBnNXYjFDnm7cZCbFs,create,67062499.999999,7KsUu5PZ17Xf3twiTVYk1tnww6inugoR6Dz1XBDoes7H,1005937500.000001,31.999999999999968,31.811121466293816,https://photon-sol.tinyastro.io/en/lp/6SDYUwPx2z7RzHiidHDoe5eSuFHyUwCHWaRKLNjhpump
2024-06-20T13:27:49.643Z,3VFUmX6Fh34bM1E3QmqmrSLeKYx7tumBVwiNs49j3Zu3CHahzN4rsgiKUExvR2MvFkXjUHGr3etLSiHEtpSd9aTX,CB3Ra84d2mnn6ewuiNWUym3z1vyxcPKNRDbNvRLfpump,5dphSPvMVD4n6ZuzXgRTfBEi36ydvGtuGW5SW2a7maJa,create,52714738.510301,4eMvr4k1G1K554G2MMHJJnE1aJNZePjHfRNzyUsGvoE2,1020285261.489699,31.549999999999997,30.922724448586514,https://photon-sol.tinyastro.io/en/lp/CB3Ra84d2mnn6ewuiNWUym3z1vyxcPKNRDbNvRLfpump
2024-06-20T13:27:51.106Z,7Gi7HRJn2wCTxB9t6kmHJ4CgUT5rKaymx5Kfu3fXbM13ZoyPLLPr99Y66Xud7TZS6v8MTagvPog6pT8FZMpjt9E,5PTtdHaPHyVN55Q6GiA3U8CxPchgxrcmVvixhXSqfbMW,ESzC9vNcE8kARgCqxSee94fU8NXJw2WGDsRUP9u1iAR5,create,28819676.281983,HiWbPsmRuUj95ZC7qNcXyJm2vUfFy8R1TCp5TbPh5Hbp,1044180323.718017,30.828008600450293,29.523644432104295,https://photon-sol.tinyastro.io/en/lp/5PTtdHaPHyVN55Q6GiA3U8CxPchgxrcmVvixhXSqfbMW
2024-06-20T13:27:56.119Z,624FY2moUBtua9CtpKK2JNwLPNNzwnEGk17uu4dTQA4DSUssHd7Bq2f78rmNuqa45vAo9Fwp4Kfq77dSCzfV7kkJ,BAj4PaBQtZRVCfvm4AGrq1LD6PJHUCfGum7Ehn3Spump,FNpo3M62k1J1dyi2CjcJicj2LBU58Y5Yeag9mMwhqTE8,create,34612903.225806,JBswNLUMbfhXmaUJsQkYPiMSTuBkhnR6BZxraStCQZai,1038387096.774194,30.999999999999986,29.853991922957412,https://photon-sol.tinyastro.io/en/lp/BAj4PaBQtZRVCfvm4AGrq1LD6PJHUCfGum7Ehn3Spump
2024-06-20T13:27:56.140Z,2wAfNv86e5tYggT3BFzoXSgE5h6hYSCxdNFVmH3hxLLttKbESmUjVjy7u17UvfEs5aTAKe16v9qeqvD2CuKRpMfA,FaAKe7vW6jyDyim1BddY81G7GQwL2mVxF5NsaeTSpump,5zmrtFTPUSjXv8uxzUEEwseMggP7dAmmea1Kyg3oFMvA,create,67062499.999999,2g4Ca6DUpbbhYjmMxB8e8cs5MXZRhqSgM1q8TmqjH39M,1005937500.000001,31.999999999999968,31.811121466293816,https://photon-sol.tinyastro.io/en/lp/FaAKe7vW6jyDyim1BddY81G7GQwL2mVxF5NsaeTSpump
